Room Rate,Month Record,Number of Star,Hotel Location,Number of Nights,Room-type Name 
64000,8,3,Residence area,0,CLASSIC STUDIO
90000,8,3,Residence area,1,SUPERIOR STUDIO
64000,8,3,Residence area,2,CLASSIC STUDIO
72000,8,3,Residence area,1,SUPERIOR STUDIO
64000,8,3,Residence area,0,CLASSIC STUDIO
64000,8,3,Residence area,2,CLASSIC STUDIO
72000,8,3,Residence area,1,SUPERIOR STUDIO
72000,8,3,Residence area,3,SUPERIOR STUDIO
72000,8,3,Residence area,1,SUPERIOR STUDIO
64000,8,3,Residence area,0,CLASSIC STUDIO
72000,8,3,Residence area,5,SUPERIOR STUDIO
64000,8,3,Residence area,2,CLASSIC STUDIO
72000,8,3,Residence area,0,SUPERIOR STUDIO
168000,8,3,Residence area,6,2 BEDROOM APARTMENT
64000,8,3,Residence area,4,CLASSIC STUDIO
64000,8,3,Residence area,0,CLASSIC STUDIO
72000,8,3,Residence area,1,SUPERIOR STUDIO
72000,8,3,Residence area,0,SUPERIOR STUDIO
64000,8,3,Residence area,8,CLASSIC STUDIO
72000,8,3,Residence area,1,SUPERIOR STUDIO
64000,8,3,Residence area,3,CLASSIC STUDIO
72000,8,3,Residence area,6,SUPERIOR STUDIO
85000,9,3,Residence area,0,SUPERIOR STUDIO
64000,9,3,Residence area,5,CLASSIC STUDIO
150000,9,3,Residence area,1,2 BEDROOM APARTMENT
72000,9,3,Residence area,0,SUPERIOR STUDIO
72000,9,3,Residence area,3,SUPERIOR STUDIO
150000,9,3,Residence area,5,2 BEDROOM APARTMENT
72000,9,3,Residence area,3,SUPERIOR STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
72000,9,3,Residence area,2,SUPERIOR STUDIO
72000,9,3,Residence area,1,SUPERIOR STUDIO
90000,9,3,Residence area,10,SUPERIOR STUDIO
150000,9,3,Residence area,0,2 BEDROOM APARTMENT
128000.00000000001,9,3,Residence area,0,1 BEDROOM APARTMENT
64000,9,3,Residence area,8,CLASSIC STUDIO
64000,9,3,Residence area,2,CLASSIC STUDIO
64000,9,3,Residence area,3,CLASSIC STUDIO
72000,9,3,Residence area,3,SUPERIOR STUDIO
72000,9,3,Residence area,3,SUPERIOR STUDIO
70000,9,3,Residence area,0,SUPERIOR STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
64000,9,3,Residence area,1,CLASSIC STUDIO
72000,9,3,Residence area,1,SUPERIOR STUDIO
72000,9,3,Residence area,1,SUPERIOR STUDIO
64000,9,3,Residence area,1,CLASSIC STUDIO
80000,9,3,Residence area,1,SUPERIOR STUDIO
90000,9,3,Residence area,0,SUPERIOR STUDIO
90000,9,3,Residence area,1,SUPERIOR STUDIO
64000,9,3,Residence area,1,CLASSIC STUDIO
90000,9,3,Residence area,1,SUPERIOR STUDIO
168000,9,3,Residence area,0,2 BEDROOM APARTMENT
60000,9,3,Residence area,0,CLASSIC STUDIO
64000,9,3,Residence area,1,CLASSIC STUDIO
72000,9,3,Residence area,1,SUPERIOR STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
90000,9,3,Residence area,1,SUPERIOR STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
90000,9,3,Residence area,0,SUPERIOR STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
72000,9,3,Residence area,2,SUPERIOR STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
80000,9,3,Residence area,0,CLASSIC STUDIO
90000,9,3,Residence area,5,SUPERIOR STUDIO
72000,9,3,Residence area,2,SUPERIOR STUDIO
64000,9,3,Residence area,1,CLASSIC STUDIO
64000,9,3,Residence area,1,CLASSIC STUDIO
70000,9,3,Residence area,2,CLASSIC STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
72000,9,3,Residence area,14,SUPERIOR STUDIO
64000,9,3,Residence area,1,CLASSIC STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
64000,9,3,Residence area,2,CLASSIC STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
80000,9,3,Residence area,0,CLASSIC STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
72000,9,3,Residence area,4,SUPERIOR STUDIO
64000,9,3,Residence area,4,CLASSIC STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
72000,9,3,Residence area,4,SUPERIOR STUDIO
72000,9,3,Residence area,1,SUPERIOR STUDIO
64000,9,3,Residence area,2,CLASSIC STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
168000,9,3,Residence area,0,2 BEDROOM APARTMENT
64000,9,3,Residence area,0,CLASSIC STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
80000,9,3,Residence area,1,CLASSIC STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
90000,9,3,Residence area,0,SUPERIOR STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
90000,9,3,Residence area,0,SUPERIOR STUDIO
90000,9,3,Residence area,0,SUPERIOR STUDIO
65000,9,3,Residence area,2,SUPERIOR STUDIO
65000,9,3,Residence area,3,SUPERIOR STUDIO
65000,9,3,Residence area,2,SUPERIOR STUDIO
90000,9,3,Residence area,2,SUPERIOR STUDIO
64000,9,3,Residence area,0,CLASSIC STUDIO
64000,9,3,Residence area,12,CLASSIC STUDIO
65000,9,3,Residence area,1,SUPERIOR STUDIO
65000,9,3,Residence area,0,SUPERIOR STUDIO
80000,9,3,Residence area,32,SUPERIOR STUDIO
150000,9,3,Residence area,0,2 BEDROOM APARTMENT
64000,9,3,Residence area,1,SUPERIOR STUDIO
128000.00000000001,9,3,Residence area,0,1 BEDROOM APARTMENT
64000,9,3,Residence area,0,CLASSIC STUDIO
64000,9,3,Residence area,2,CLASSIC STUDIO
72000,9,3,Residence area,2,SUPERIOR STUDIO
64000,9,3,Residence area,3,CLASSIC STUDIO
72000,9,3,Residence area,0,SUPERIOR STUDIO
168000,10,3,Residence area,6,2 BEDROOM APARTMENT
90000,10,3,Residence area,15,SUPERIOR STUDIO
60000,10,3,Residence area,0,CLASSIC STUDIO
90000,10,3,Residence area,3,SUPERIOR STUDIO
85000,10,3,Residence area,0,SUPERIOR STUDIO
90000,10,3,Residence area,1,SUPERIOR STUDIO
75000,10,3,Residence area,0,CLASSIC STUDIO
72000,10,3,Residence area,2,SUPERIOR STUDIO
90000,10,3,Residence area,1,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
65000,10,3,Residence area,0,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
72000,10,3,Residence area,1,SUPERIOR STUDIO
72000,10,3,Residence area,8,SUPERIOR STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
72000,10,3,Residence area,1,SUPERIOR STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
72000,10,3,Residence area,3,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
72000,10,3,Residence area,2,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
90000,10,3,Residence area,0,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
90750,10,3,Residence area,2,CLASSIC STUDIO
80000,10,3,Residence area,0,SUPERIOR STUDIO
72000,10,3,Residence area,2,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
144000,10,3,Residence area,2,2 BEDROOM APARTMENT
210000.00000000003,10,3,Residence area,0,2 BEDROOM APARTMENT
144000,10,3,Residence area,0,2 BEDROOM APARTMENT
72000,10,3,Residence area,1,SUPERIOR STUDIO
100000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,9,CLASSIC STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
85000,10,3,Residence area,0,SUPERIOR STUDIO
64000,10,3,Residence area,4,CLASSIC STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
80000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,2,CLASSIC STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
168000,10,3,Residence area,1,2 BEDROOM APARTMENT
90000,10,3,Residence area,3,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
64999.99999999999,10,3,Residence area,8,SUPERIOR STUDIO
90000,10,3,Residence area,0,SUPERIOR STUDIO
72000,10,3,Residence area,1,SUPERIOR STUDIO
80000,10,3,Residence area,1,CLASSIC STUDIO
80000,10,3,Residence area,1,SUPERIOR STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
128000.00000000001,10,3,Residence area,0,1 BEDROOM APARTMENT
210000.00000000003,10,3,Residence area,1,2 BEDROOM APARTMENT
150000,10,3,Residence area,0,2 BEDROOM APARTMENT
64000,10,3,Residence area,0,CLASSIC STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
80000,10,3,Residence area,1,CLASSIC STUDIO
85000,10,3,Residence area,4,SUPERIOR STUDIO
160000,10,3,Residence area,0,1 BEDROOM APARTMENT
64000,10,3,Residence area,4,CLASSIC STUDIO
72000,10,3,Residence area,4,SUPERIOR STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
72000,10,3,Residence area,2,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
60000,10,3,Residence area,2,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64000,10,3,Residence area,1,SUPERIOR STUDIO
72000,10,3,Residence area,1,SUPERIOR STUDIO
72000,10,3,Residence area,1,SUPERIOR STUDIO
72000,10,3,Residence area,1,SUPERIOR STUDIO
72000,10,3,Residence area,1,1 BEDROOM APARTMENT
64000,10,3,Residence area,2,1 BEDROOM APARTMENT
72000,10,3,Residence area,7,SUPERIOR STUDIO
128000.00000000001,10,3,Residence area,2,1 BEDROOM APARTMENT
64000,10,3,Residence area,4,CLASSIC STUDIO
64000,10,3,Residence area,2,CLASSIC STUDIO
168000,10,3,Residence area,0,2 BEDROOM APARTMENT
150000,10,3,Residence area,2,2 BEDROOM APARTMENT
72000,10,3,Residence area,0,SUPERIOR STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
128000.00000000001,10,3,Residence area,0,1 BEDROOM APARTMENT
64000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,1,SUPERIOR STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
70000,10,3,Residence area,0,CLASSIC STUDIO
72000,10,3,Residence area,4,SUPERIOR STUDIO
72000,10,3,Residence area,6,SUPERIOR STUDIO
72000,10,3,Residence area,1,SUPERIOR STUDIO
128000.00000000001,10,3,Residence area,1,1 BEDROOM APARTMENT
72000,10,3,Residence area,1,SUPERIOR STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64000,10,3,Residence area,1,CLASSIC STUDIO
64999.99999999999,10,3,Residence area,4,SUPERIOR STUDIO
85000,10,3,Residence area,2,SUPERIOR STUDIO
90000,10,3,Residence area,3,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
72000,10,3,Residence area,0,SUPERIOR STUDIO
64000,10,3,Residence area,0,CLASSIC STUDIO
90000,10,3,Residence area,1,1 BEDROOM APARTMENT
64000,10,3,Residence area,0,CLASSIC STUDIO
120000,10,3,Residence area,1,1 BEDROOM APARTMENT
30000,6,3,Residence area,17,SUPERIOR ROOM
55000,6,3,Residence area,3,EXECUTIVE SUITE
0,6,3,Residence area,21,CLASSIC ROOM
40000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
27000,6,3,Residence area,1,CLASSIC ROOM
35000,6,3,Residence area,3,SUPERIOR ROOM
30000,6,3,Residence area,1,DELUX ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
27000,6,3,Residence area,1,CLASSIC ROOM
27000,6,3,Residence area,2,CLASSIC ROOM
33000,6,3,Residence area,2,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
60000,6,3,Residence area,1,EXECUTIVE SUITE
33000,6,3,Residence area,2,SUPERIOR ROOM
27000,6,3,Residence area,1,CLASSIC ROOM
27000,6,3,Residence area,1,CLASSIC ROOM
42000,6,3,Residence area,1,SUPERIOR ROOM
42000,6,3,Residence area,1,SUPERIOR ROOM
42000,6,3,Residence area,1,SUPERIOR ROOM
42000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
27000,6,3,Residence area,2,CLASSIC ROOM
36000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
27000,6,3,Residence area,1,CLASSIC ROOM
27000,6,3,Residence area,1,CLASSIC ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,DELUX ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
38000,6,3,Residence area,1,SUPERIOR ROOM
25000,6,3,Residence area,4,CLASSIC ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
85000,6,3,Residence area,2,DIPLOMATIC SUITE
33000,6,3,Residence area,4,SUPERIOR ROOM
27000,6,3,Residence area,2,CLASSIC ROOM
27000,6,3,Residence area,2,CLASSIC ROOM
0,6,3,Residence area,1,EXECUTIVE SUITE
52500,6,3,Residence area,1,EXECUTIVE SUITE
38500,6,3,Residence area,2,SUPERIOR ROOM
38500,6,3,Residence area,1,SUPERIOR ROOM
28000,6,3,Residence area,1,SUPERIOR ROOM
28000,6,3,Residence area,1,CLASSIC ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,2,SUPERIOR ROOM
33000,6,3,Residence area,2,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,4,SUPERIOR ROOM
33000,6,3,Residence area,2,SUPERIOR ROOM
45000,6,3,Residence area,1,CLASSIC ROOM
25000,6,3,Residence area,1,SUPERIOR ROOM
25000,6,3,Residence area,1,SUPERIOR ROOM
60000,6,3,Residence area,1,EXECUTIVE SUITE
33000,6,3,Residence area,1,SUPERIOR ROOM
35000,6,3,Residence area,1,SUPERIOR ROOM
33000,6,3,Residence area,2,SUPERIOR ROOM
33000,6,3,Residence area,1,SUPERIOR ROOM
27000,6,3,Residence area,1,CLASSIC ROOM
52500,6,3,Residence area,2,EXECUTIVE SUITE
3750000,6,3,Residence area,2,EXECUTIVE SUITE
30000,6,3,Residence area,3,SUPERIOR ROOM
31500,6,3,Residence area,1,CLASSIC ROOM
70000,6,3,Residence area,3,EXECUTIVE SUITE
38500,6,3,Residence area,3,EXECUTIVE SUITE
30000,6,3,Residence area,1,SUPERIOR ROOM
30000,6,3,Residence area,1,SUPERIOR ROOM
60000,6,3,Residence area,3,EXECUTIVE SUITE
100000,7,3,Residence area,2,EXECUTIVE SUITE
36000,7,3,Residence area,1,CLASSIC ROOM
38500,7,3,Residence area,1,SUPERIOR ROOM
45000,7,3,Residence area,2,SUPERIOR ROOM
27000,7,3,Residence area,12,SUPERIOR ROOM
33000,7,3,Residence area,3,SUPERIOR ROOM
105000,7,3,Residence area,1,EXECUTIVE SUITE
30000,7,3,Residence area,1,SUPERIOR ROOM
30000,7,3,Residence area,1,CLASSIC ROOM
30000,7,3,Residence area,1,SUPERIOR ROOM
30000,7,3,Residence area,1,SUPERIOR ROOM
30000,7,3,Residence area,1,SUPERIOR ROOM
38500,7,3,Residence area,1,SUPERIOR ROOM
27000,7,3,Residence area,2,CLASSIC ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
33000,7,3,Residence area,2,SUPERIOR ROOM
33000,7,3,Residence area,3,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
27000,7,3,Residence area,2,CLASSIC ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
55000,7,3,Residence area,2,SUPERIOR ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
60000,7,3,Residence area,1,EXECUTIVE SUITE
35000,7,3,Residence area,1,SUPERIOR ROOM
35000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,3,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
30000,7,3,Residence area,1,CLASSIC ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
36000,7,3,Residence area,0,SUPERIOR ROOM
45000,7,3,Residence area,1,DELUX ROOM
45000,7,3,Residence area,1,DELUX ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
27000,7,3,Residence area,2,CLASSIC ROOM
33000,7,3,Residence area,3,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
116000,7,3,Residence area,,DIPLOMATIC SUITE
116000,7,3,Residence area,,DIPLOMATIC SUITE
86000,7,3,Residence area,,EXECUTIVE SUITE
86000,7,3,Residence area,,EXECUTIVE SUITE
42000,7,3,Residence area,2,DELUX ROOM
35000,7,3,Residence area,1,SUPERIOR ROOM
35000,7,3,Residence area,4,SUPERIOR ROOM
35000,7,3,Residence area,4,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
44000,7,3,Residence area,1,SUPERIOR ROOM
44000,7,3,Residence area,1,SUPERIOR ROOM
44000,7,3,Residence area,1,SUPERIOR ROOM
44000,7,3,Residence area,1,SUPERIOR ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
35000,7,3,Residence area,2,SUPERIOR ROOM
30000,7,3,Residence area,1,CLASSIC ROOM
33000,7,3,Residence area,3,DELUX ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
0,7,3,Residence area,2,SUPERIOR ROOM
33000,7,3,Residence area,2,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
44000,7,3,Residence area,1,SUPERIOR ROOM
28000,7,3,Residence area,5,SUPERIOR ROOM
44000,7,3,Residence area,1,SUPERIOR ROOM
30000,7,3,Residence area,3,SUPERIOR ROOM
30000,7,3,Residence area,8,SUPERIOR ROOM
0,7,3,Residence area,1,SUPERIOR ROOM
44000,7,3,Residence area,18,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,2,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
42000,7,3,Residence area,1,DELUX ROOM
35250,7,3,Residence area,5,SUPERIOR ROOM
27000,7,3,Residence area,1,CLASSIC ROOM
30000,7,3,Residence area,1,SUPERIOR ROOM
28000,7,3,Residence area,5,SUPERIOR ROOM
70000,7,3,Residence area,3,EXECUTIVE SUITE
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
45000,7,3,Residence area,1,SUPERIOR ROOM
30000,7,3,Residence area,1,CLASSIC ROOM
70000,7,3,Residence area,2,EXECUTIVE SUITE
33000,7,3,Residence area,3,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
44000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
36000,7,3,Residence area,2,SUPERIOR ROOM
42000,7,3,Residence area,1,DELUX ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
27000,7,3,Residence area,1,SUPERIOR ROOM
116000,7,3,Residence area,1,DIPLOMATIC SUITE
33000,7,3,Residence area,1,DELUX ROOM
33000,7,3,Residence area,1,DELUX ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,1,DELUX ROOM
38500,7,3,Residence area,2,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
55000,7,3,Residence area,0,EXECUTIVE SUITE
33000,7,3,Residence area,1,SUPERIOR ROOM
33000,7,3,Residence area,2,SUPERIOR ROOM
31500,7,3,Residence area,8,SUPERIOR ROOM
38500,7,3,Residence area,5,DELUX ROOM
42000,7,3,Residence area,2,EXECUTIVE SUITE
42000,7,3,Residence area,2,EXECUTIVE SUITE
60000,7,3,Residence area,1,EXECUTIVE SUITE
28000,7,3,Residence area,5,SUPERIOR ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
90000,7,3,Residence area,1,DIPLOMATIC SUITE
20000,7,3,Residence area,5,SUPERIOR ROOM
27000,7,3,Residence area,2,CLASSIC ROOM
33000,7,3,Residence area,1,SUPERIOR ROOM
27000,7,3,Residence area,2,CLASSIC ROOM
27000,7,3,Residence area,2,CLASSIC ROOM
27000,7,3,Residence area,2,SUPERIOR ROOM
28000,7,3,Residence area,5,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
45000,7,3,Residence area,2,EXECUTIVE SUITE
45000,7,3,Residence area,2,EXECUTIVE SUITE
20000,7,3,Residence area,2,DELUX ROOM
20000,7,3,Residence area,2,DELUX ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
45000,7,3,Residence area,3,EXECUTIVE SUITE
45000,7,3,Residence area,3,EXECUTIVE SUITE
20000,7,3,Residence area,2,DELUX ROOM
20000,7,3,Residence area,2,DELUX ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
20000,7,3,Residence area,2,DELUX ROOM
20000,7,3,Residence area,2,CLASSIC ROOM
20000,7,3,Residence area,2,DELUX ROOM
20000,7,3,Residence area,2,EXECUTIVE SUITE
60000,7,3,Residence area,2,EXECUTIVE SUITE
33000,7,3,Residence area,1,SUPERIOR ROOM
20000,7,3,Residence area,2,SUPERIOR ROOM
27000,7,3,Residence area,2,CLASSIC ROOM
27000,7,3,Residence area,2,CLASSIC ROOM
35000,7,3,Residence area,2,SUPERIOR ROOM
33000,7,3,Residence area,2,DELUX ROOM
42000,7,3,Residence area,2,EXECUTIVE SUITE
42000,7,3,Residence area,2,EXECUTIVE SUITE
42000,7,3,Residence area,2,EXECUTIVE SUITE
45000,7,3,Residence area,3,EXECUTIVE SUITE
45000,7,3,Residence area,3,EXECUTIVE SUITE
45000,7,3,Residence area,1,EXECUTIVE SUITE
55000,7,3,Residence area,1,SUPERIOR ROOM
55999,7,3,Residence area,1,DELUX ROOM
55999,7,3,Residence area,1,DELUX ROOM
36000,7,3,Residence area,1,EXECUTIVE SUITE
27000,7,3,Residence area,1,CLASSIC ROOM
36000,7,3,Residence area,1,CLASSIC ROOM
80000,7,3,Residence area,1,EXECUTIVE SUITE
70000,7,3,Residence area,4,DIPLOMATIC SUITE
50000,7,3,Residence area,5,EXECUTIVE SUITE
30000,7,3,Residence area,1,CLASSIC ROOM
45000,7,3,Residence area,2,SUPERIOR ROOM
45000,7,3,Residence area,2,SUPERIOR ROOM
35000,7,3,Residence area,2,SUPERIOR ROOM
50000,7,3,Residence area,5,EXECUTIVE SUITE
45000,7,3,Residence area,4,SUPERIOR ROOM
27000,7,3,Residence area,4,CLASSIC ROOM
50000,7,3,Residence area,4,EXECUTIVE SUITE
50000,7,3,Residence area,4,EXECUTIVE SUITE
50000,7,3,Residence area,4,EXECUTIVE SUITE
27000,7,3,Residence area,4,CLASSIC ROOM
50000,7,3,Residence area,4,EXECUTIVE SUITE
50000,7,3,Residence area,4,EXECUTIVE SUITE
50000,7,3,Residence area,4,EXECUTIVE SUITE
50000,7,3,Residence area,4,EXECUTIVE SUITE
30000,7,3,Residence area,3,SUPERIOR ROOM
50000,7,3,Residence area,4,EXECUTIVE SUITE
50000,7,3,Residence area,4,EXECUTIVE SUITE
33000,7,3,Residence area,1,SUPERIOR ROOM
30000,7,3,Residence area,1,SUPERIOR ROOM
105000,7,3,Residence area,2,DIPLOMATIC SUITE
38500,7,3,Residence area,1,SUPERIOR ROOM
40000,7,3,Residence area,2,SUPERIOR ROOM
33000,8,3,Residence area,1,SUPERIOR ROOM
60000,8,3,Residence area,1,EXECUTIVE SUITE
42000,8,3,Residence area,2,DELUX ROOM
42000,8,3,Residence area,2,DELUX ROOM
